City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
daragutan,17.0,122.03,91.49,60,92,2.35,PH,1596434153
adre,13.47,22.2,67.44,92,100,13.0,TD,1596434153
guiratinga,-16.35,-53.76,64.89,45,0,5.95,BR,1596434153
san jose,13.3,-4.9,77.23,80,94,10.04,ML,1596434069
peleduy,59.63,112.74,77.54,33,76,12.8,RU,1596434154
minot,48.23,-101.3,59.0,77,1,6.93,US,1596434154
sur,22.57,59.53,92.73,50,19,12.28,OM,1596434154
cabo san lucas,-8.28,-35.03,77.0,69,40,13.87,BR,1596434154
pierre,44.37,-100.35,60.8,72,1,9.93,US,1596434154
vanimo,-2.67,141.3,79.27,83,93,3.62,PG,1596434154
gagnoa,6.13,-5.94,63.86,99,87,1.68,CI,1596434154
guanica,17.97,-66.91,81.0,80,2,9.73,PR,1596434154
kavaratti,10.57,72.64,82.67,79,97,24.36,IN,1596434154
villers-les-nancy,48.67,6.15,60.8,67,77,6.93,FR,1596434154
honggang,46.47,124.87,91.99,47,60,12.44,CN,1596434154
tateyama,34.98,139.87,88.0,70,20,6.93,JP,1596434155
natal,-5.79,-35.21,73.4,83,40,9.17,BR,1596433981
stephenville,32.22,-98.2,78.8,47,1,7.63,US,1596433932
lompoc,34.64,-120.46,57.2,87,90,6.93,US,1596434155
kurumkan,54.3,110.3,74.03,62,32,4.61,RU,1596434155
lakes entrance,61.61,-149.31,62.6,63,90,2.59,US,1596434155
santo antonio do ica,-0.59,-80.0,68.16,94,23,2.15,EC,1596434155
manta,-0.95,-80.73,69.8,94,20,5.82,EC,1596434155
albert,50.0,2.65,54.0,93,100,6.69,FR,1596434155
shetpe,44.17,52.12,81.97,48,59,20.29,KZ,1596434156
luau,-10.71,22.22,60.15,39,100,6.08,AO,1596434156
ouesso,1.61,16.05,71.1,94,89,3.83,CG,1596434156
gorontalo,0.54,123.06,82.72,78,84,3.53,ID,1596434156
san juan,13.3,-4.9,77.23,80,94,10.04,ML,1596434156
aras,42.56,-2.36,59.0,82,20,10.29,ES,1596434156
angoche,-16.23,39.91,74.26,74,58,12.28,MZ,1596434156
mecca,21.43,39.83,92.01,46,61,6.04,SA,1596434156
ljig,44.23,20.24,73.4,93,0,7.43,RS,1596434156
alice springs,27.75,-98.07,78.8,94,1,6.06,US,1596434156
kamenka,51.32,42.77,66.0,76,10,5.01,RU,1596434157
haveli,30.45,73.7,107.35,28,3,14.94,PK,1596434157
lira,2.23,32.91,72.12,75,36,1.77,UG,1596434157
prince rupert,52.97,-108.38,64.4,72,75,11.41,CA,1596434157
togur,58.36,82.83,78.44,47,5,8.34,RU,1596434157
burns lake,43.59,-119.05,75.2,25,1,13.87,US,1596434157
hohhot,40.81,111.65,82.4,42,40,8.95,CN,1596434157
marsh harbour,53.65,-1.81,54.0,93,61,5.77,GB,1596434158
yar-sale,66.83,70.83,72.55,71,100,20.67,RU,1596434158
svetlogorsk,52.63,29.73,63.57,73,0,4.29,BY,1596434158
eydhafushi,5.1,73.07,82.76,79,100,14.25,MV,1596434158
rio muerto,38.3,21.78,82.4,51,20,8.05,GR,1596433954
tura,25.52,90.22,94.48,56,8,0.87,IN,1596434158
bilma,18.69,12.92,89.2,35,20,7.27,NE,1596434158
kaohsiung,22.62,120.31,82.4,83,75,11.41,TW,1596434158
mataram,-8.58,116.12,84.2,62,75,8.05,ID,1596434054
wanning,18.8,110.4,87.57,71,98,12.08,CN,1596434159
tabou,4.42,-7.35,71.46,80,95,2.44,CI,1596434159
solnechnyy,50.72,136.63,55.78,85,100,8.21,RU,1596434159
fayaoue,-20.65,166.53,70.47,61,38,8.77,NC,1596434159
iuna,-20.35,-41.54,53.4,88,59,2.89,BR,1596434159
port augusta,-7.03,29.76,73.2,51,81,16.51,CD,1596434159
bireun,5.2,96.7,87.4,59,92,7.54,ID,1596434160
zlitan,32.47,14.57,83.75,33,0,6.33,LY,1596434160
sao joao do paraiso,20.51,76.21,84.16,71,100,9.98,IN,1596434131
khash,28.22,61.22,93.4,12,7,1.92,IR,1596434160
shache,38.42,77.24,95.7,9,0,11.43,CN,1596434160
mildura,-34.2,142.15,66.2,39,99,6.93,AU,1596434160
roald,62.58,6.13,53.6,93,75,8.05,NO,1596434160
buraydah,26.33,43.98,95.0,30,0,9.17,SA,1596434160
portalegre,39.29,-7.43,64.4,72,84,11.41,PT,1596434161
lasa,46.62,10.7,59.0,100,75,5.82,IT,1596434161
saint-georges,12.06,-61.75,84.2,79,75,13.89,GD,1596434161
bozova,37.36,38.53,86.0,28,0,8.05,TR,1596434161
pudozh,61.81,36.53,54.1,91,78,5.06,RU,1596434161
kruisfontein,-34.0,24.73,63.36,29,0,11.52,ZA,1596434161
honiara,-9.43,159.95,87.8,70,20,8.05,SB,1596434161
okhotsk,59.38,143.3,65.79,59,6,10.92,RU,1596434161
east wenatchee,65.0,-15.0,46.4,100,90,6.93,IS,1596434162
codrington,-38.27,141.97,49.6,65,81,14.36,AU,1596434162
phangnga,8.45,98.53,86.0,79,40,18.34,TH,1596434162
portoferraio,42.81,10.31,82.0,88,90,8.05,IT,1596434162
pitimbu,-7.47,-34.81,69.8,100,75,6.93,BR,1596434162
inhambane,-23.86,35.38,69.8,88,75,4.7,MZ,1596434162
niquero,20.04,-77.58,82.0,80,100,4.21,CU,1596434162
masallatah,32.62,14.0,86.04,26,0,4.41,LY,1596434162
bandarbeyla,9.49,50.81,87.22,44,41,34.05,SO,1596434162
eyl,7.98,49.82,87.89,44,32,32.32,SO,1596434163
albacete,38.83,-2.0,68.0,88,20,4.7,ES,1596434163
north branch,50.33,3.67,54.0,93,100,4.7,FR,1596434163
kashan,33.98,51.44,93.45,14,0,5.37,IR,1596434163
babu,24.42,111.52,90.41,64,30,1.59,CN,1596434163
adrar,20.5,-10.07,92.1,30,0,12.19,MR,1596434163
samarinda,-0.5,117.15,85.19,74,54,2.51,ID,1596434163
buena vista,39.51,-74.92,75.99,99,40,1.01,US,1596434163
rudbar,30.15,62.6,101.43,8,0,24.72,AF,1596434163
erzin,36.96,36.2,84.0,79,26,3.83,TR,1596434164
